Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019<R>,2020<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,107609.505,112220.95200000002,127208.15299999999,125485.72,134102.922,129059.412,122551.01099999997,140455.60499999998,158210.18299999996,172118.063,176048.32299999995,178167.82200000001,186727.60800000004,193642.49300000002,193554.772,190853.66599999997,185527.54499999995,179927.66999999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,612.409,591.588,525.114,547.61,640.402,546.709,607.026,546.047,532.226,565.88,1009.658,1019.679,829.504,767.975,792.639,688.06,596.395,680.549
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,713.251,714.906,649.857,637.565,676.115,633.732,501.249,506.697,502.688,500.549,472.977,458.818,544.926,554.953,587.244,562.091,543.292,629.991
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,2050.038,2374.331,2461.831,2233.277,2337.344,2566.072,2582.215,2494.697,2568.893,2698.443,3751.217,3893.447,4164.318,4695.949,4639.219,4899.337,4291.785,3864.808
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,187.534,191.693,217.158,242.679,228.21,175.256,181.331,194.861,177.185,176.307,167.568,136.516,135.606,116.675,89.973,82.772,78.651,79.348
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,12592.7,11779.843,14461.723,13717.119,14283.671,13954.976,12337.203,15261.698,16986.292,17238.765,16190.468,16334.68,14067.292,14566.707,14949.292,13497.003,13042.405,10075.758
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,1780.135,1637.999,1719.236,1815.934,1967.38,1743.017,1641.786,1861.592,1775.507,1888.985,1878.566,1738.598,1506.912,1562.251,1620.896,1655.155,1588.29,1658.545
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,1062.733,733.961,1001.269,995.66,1009.125,803.084,690.764,772.456,717.256,808.272,630.938,687.835,760.959,666.184,572.954,492.109,405.592,407.018
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,6954.267,6452.668,10532.03,12694.393,13036.211,12382.729,10722.232,10952.012,11778.946,14567.72,16371.439,15186.052,13609.537,16414.819,20257.164,25580.433,23580.485,23090.998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,121.846,120.317,109.016,125.591,123.045,104.31,110.028,95.373,112.093,121.634,102.602,117.615,109.529,126.068,127.654,122.491,114.364,117.616
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,6489.312,6847.449,7161.582,7447.438,7485.741,6205.132,5863.992,6130.308,6709.335,7528.627,9799.896,9814.02,9904.903,9071.618,8158.269,8470.778,8415.657,8961.264
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,3016.255,2660.32,2885.362,3494.641,3065.186,3013.236,2210.085,2048.977,1926.947,2623.729,3125.736,2744.623,2932.116,2875.267,3051.496,2943.884,2199.408,1865.602
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,1074.506,1042.364,1310.895,1457.177,2657.59,4603.387,3427.466,3670.044,3267.007,4508.721,5003.345,3830.205,4230.874,6971.892,7083.156,7821.856,9265.504,8897.694
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,1531.617,1782.354,1516.294,1494.261,1726.577,1994.477,1559.273,1922.296,1974.475,2175.549,2362.449,2411.54,2863.733,2546.97,2416.04,2407.468,2283.643,2040.797
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,2087.437,1918.686,2143.549,2097.356,1709.092,1543.197,1573.037,2149.883,2934.77,3096.575,2943.175,3071.821,2884.344,2779.143,2784.997,2082.632,1779.558,2097.415
